Test ID,Function,Input,Expected Behavior
TC-M334,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[9, 1, 9, 6, 6, 4, 1, 2, 7, 4], yerr=[0.52, 0.27, 0.91, 0.3, 0.29, 0.55, 0.75, 0.43, 0.72, 0.66]",errorbar rendered correctly
TC-M335,pyplot.boxplot,"data=[[14, 20, 6, 6, 5, 7, 9]]",boxplot rendered correctly
TC-M336,pyplot.hist,"data=[8, 10, 7, 5, 0, 10, 3, 2, 2, 1, 5, 10, 4, 7, 5, 5, 1, 6, 5, 3, 1, 8, 10, 9, 7, 2, 10, 10, 7, 0, 5, 7, 0, 2, 4, 9, 10]",hist rendered correctly
TC-M337,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[19, 20, 20, 14, 17]",bar rendered correctly
TC-M338,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[10, 5, 2, 4, 10, 9, 1, 7, 5, 4], y2=[5, 9, 7, 8, 15, 11, 12, 10, 5, 10]",fill_between rendered correctly
TC-M339,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[7, 0, 6, 10, 2, 3, 4, 2]",plot rendered correctly
TC-M340,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[8, 5, 3, 0, 1, 0], y2=[14, 15, 5, 10, 11, 13]",fill_between rendered correctly
TC-M341,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[1, 7, 1, 0, 7, 10, 4], yerr=[0.23, 0.88, 0.64, 0.46, 0.12, 0.97, 0.95]",errorbar rendered correctly
TC-M342,pyplot.boxplot,"data=[[20, 17, 0, 13, 19, 19, 6, 17], [15, 9, 14, 4, 20, 0, 1], [5, 13, 4, 7, 11, 3, 19]]",boxplot rendered correctly
TC-M343,pyplot.imshow,array=15x15 random floats,imshow rendered correctly
TC-M344,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[17, 11]",bar rendered correctly
TC-M345,pyplot.errorbar,"x=[0, 1, 2], y=[2, 2, 5], yerr=[0.97, 0.6, 0.45]",errorbar rendered correctly
TC-M346,pyplot.imshow,array=13x13 random floats,imshow rendered correctly
TC-M347,pyplot.boxplot,"data=[[13, 1, 16, 4, 0], [8, 9, 4, 7, 19, 3, 20, 0, 2], [19, 2, 19, 2, 0, 12], [4, 19, 3, 1, 16, 10, 4, 4]]",boxplot rendered correctly
TC-M348,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[17, 10, 17, 8, 6]",bar rendered correctly
TC-M349,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[2, 5, 5, 9, 10, 10, 10, 10, 10]",plot rendered correctly
TC-M350,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[10, 8, 0, 0, 7], y2=[11, 5, 15, 9, 11]",fill_between rendered correctly
TC-M351,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M352,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[10, 1, 8, 2, 8, 5, 0, 3], yerr=[0.72, 0.39, 0.27, 0.62, 0.43, 0.37, 0.86, 0.54]",errorbar rendered correctly
TC-M353,pyplot.pie,"sizes=[63, 53, 92, 87]",pie rendered correctly
TC-M354,pyplot.pie,"sizes=[90, 96, 57, 64, 86]",pie rendered correctly
TC-M355,pyplot.hist,"data=[7, 9, 6, 6, 7, 5, 0, 4, 1, 8, 3, 1, 8, 3, 8, 9, 10, 2, 2, 4, 9, 4, 6, 10, 9, 3, 4, 9, 10, 5]",hist rendered correctly
TC-M356,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5], y=[10, 0, 9, 7, 5, 2], color='red'",scatter rendered correctly
TC-M357,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5], y=[0, 10, 10, 6, 4, 9], color='#FF00FF'",scatter rendered correctly
TC-M358,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[15, 3, 9]",bar rendered correctly
TC-M359,pyplot.hist,"data=[8, 5, 7, 1, 9, 7, 0, 4, 3, 5]",hist rendered correctly
TC-M360,pyplot.imshow,array=10x10 random floats,imshow rendered correctly
TC-M361,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[2, 1, 9, 4, 9, 8], y2=[5, 6, 12, 15, 10, 14]",fill_between rendered correctly
TC-M362,pyplot.errorbar,"x=[0, 1, 2], y=[4, 2, 3], yerr=[0.97, 0.83, 0.34]",errorbar rendered correctly
TC-M363,pyplot.imshow,array=10x10 random floats,imshow rendered correctly
TC-M364,pyplot.boxplot,"data=[[12, 16, 7, 14, 2, 4, 17], [14, 0, 19, 4, 15, 3, 10, 10, 5, 6], [15, 0, 15, 16, 3]]",boxplot rendered correctly
TC-M365,pyplot.imshow,array=13x13 random floats,imshow rendered correctly
TC-M366,pyplot.boxplot,"data=[[10, 1, 5, 5, 2, 0, 14, 0, 7, 18]]",boxplot rendered correctly
TC-M367,pyplot.hist,"data=[3, 5, 8, 8, 8, 2, 6, 0, 8, 2, 2]",hist rendered correctly
TC-M368,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[9, 7, 0, 4, 4, 4], y2=[15, 7, 14, 11, 6, 9]",fill_between rendered correctly
TC-M369,pyplot.pie,"sizes=[90, 25, 65, 28]",pie rendered correctly
TC-M370,pyplot.hist,"data=[9, 3, 8, 9, 10, 0, 1, 0, 1, 0, 2, 0, 4, 8, 2, 1, 2, 10, 3, 2, 2, 4, 9, 1, 9, 9]",hist rendered correctly
TC-M371,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6], y1=[4, 0, 6, 9, 0, 10, 4], y2=[7, 5, 12, 8, 5, 9, 5]",fill_between rendered correctly
TC-M372,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[16, 15, 8, 4, 11]",bar rendered correctly
TC-M373,pyplot.hist,"data=[9, 8, 0, 10, 9, 6, 5, 4, 3, 10, 5, 5, 5, 9, 1, 5, 3, 5, 3, 2, 8, 6, 0, 7, 0, 3, 1, 8, 5]",hist rendered correctly
TC-M374,pyplot.imshow,array=15x15 random floats,imshow rendered correctly
TC-M375,pyplot.pie,"sizes=[55, 11, 86, 41, 41]",pie rendered correctly
TC-M376,pyplot.errorbar,"x=[0, 1, 2], y=[6, 7, 1], yerr=[0.47, 0.14, 0.38]",errorbar rendered correctly
TC-M377,pyplot.boxplot,"data=[[4, 1, 18, 16, 0, 19, 13, 20], [6, 10, 15, 12, 11, 1], [10, 4, 9, 4, 17, 1], [20, 7, 19, 11, 5, 18, 6]]",boxplot rendered correctly
TC-M378,pyplot.hist,"data=[6, 3, 5, 4, 4, 2, 8, 0, 4, 8, 1, 9, 6, 7, 4, 5, 7, 6, 8, 7, 5, 0, 1, 2, 6, 2, 5, 4, 3, 4]",hist rendered correctly
TC-M379,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[7, 5, 5, 6, 9, 0, 10, 5, 1, 0], color='green'",scatter rendered correctly
TC-M380,pyplot.imshow,array=14x14 random floats,imshow rendered correctly
TC-M381,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[4, 8, 10, 10, 4, 6, 9], color='cyan'",scatter rendered correctly
TC-M382,pyplot.imshow,array=15x15 random floats,imshow rendered correctly
TC-M383,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[8, 18, 8, 20, 2]",bar rendered correctly
TC-M384,pyplot.boxplot,"data=[[15, 9, 2, 11, 13, 10, 3, 11, 20], [0, 20, 16, 15, 12, 6], [13, 18, 15, 3, 2, 4, 9, 4, 6, 11]]",boxplot rendered correctly
TC-M385,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[3, 6, 15, 7]",bar rendered correctly
TC-M386,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[9, 2, 10, 0, 7, 9, 5, 9, 10, 5]",plot rendered correctly
TC-M387,pyplot.hist,"data=[1, 8, 1, 2, 2, 8, 2, 2, 7, 7, 4, 10, 5, 4, 1, 0, 3, 8, 9, 5, 0, 9, 2, 9, 0, 9, 7, 1, 7, 2, 9, 6, 8, 9, 6, 1]",hist rendered correctly
TC-M388,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5], y=[9, 6, 9, 8, 5, 7], color='green'",scatter rendered correctly
TC-M389,pyplot.imshow,array=7x7 random floats,imshow rendered correctly
TC-M390,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[4, 2, 7, 5, 8, 0, 5, 6, 3], y2=[9, 11, 7, 5, 8, 7, 12, 12, 8]",fill_between rendered correctly
TC-M391,pyplot.scatter,"x=[0, 1, 2, 3, 4], y=[5, 7, 6, 10, 2], color='cyan'",scatter rendered correctly
TC-M392,pyplot.scatter,"x=[0, 1], y=[9, 9], color='blue'",scatter rendered correctly
TC-M393,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[4, 5, 9, 14]",bar rendered correctly
TC-M394,pyplot.hist,"data=[5, 10, 0, 0, 3, 6, 1, 1, 2, 3, 1, 4]",hist rendered correctly
TC-M395,pyplot.plot,"x=[0, 1], y=[8, 3]",plot rendered correctly
TC-M396,pyplot.plot,"x=[0, 1, 2, 3, 4, 5], y=[2, 9, 7, 0, 9, 8]",plot rendered correctly
TC-M397,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[1, 8, 5, 9, 6, 3, 2, 10], y2=[11, 12, 8, 5, 11, 11, 14, 7]",fill_between rendered correctly
TC-M398,pyplot.pie,"sizes=[98, 52, 54, 99]",pie rendered correctly
TC-M399,pyplot.hist,"data=[10, 6, 1, 8, 7, 4, 1, 6, 10, 4, 7, 6, 7]",hist rendered correctly
TC-M400,pyplot.hist,"data=[1, 0, 4, 3, 3, 9, 2, 7, 2, 6, 3, 10, 9, 7, 2, 6]",hist rendered correctly
